Id,SleepDay,TotalMinutesAsleep,TotalTimeInBed
4445114986,4/29/16,106,108
4445114986,4/30/16,322,353
4445114986,5/1/16,439,459
4445114986,5/2/16,502,542
4445114986,5/3/16,417,450
4445114986,5/4/16,337,363
4445114986,5/5/16,462,513
4445114986,5/6/16,374,402
4445114986,5/7/16,401,436
4445114986,5/8/16,361,391
4445114986,5/9/16,457,533
4445114986,5/10/16,405,426
4445114986,5/11/16,499,530
4445114986,5/12/16,483,501
4558609924,4/21/16,126,137
4558609924,4/26/16,103,121
4558609924,4/29/16,171,179
4558609924,5/1/16,115,129
4558609924,5/8/16,123,134
4702921684,4/12/16,425,439
4702921684,4/13/16,400,430
4702921684,4/14/16,384,415
4702921684,4/15/16,253,257
4702921684,4/16/16,382,406
4702921684,4/17/16,591,612
4702921684,4/18/16,293,312
4702921684,4/19/16,457,487
4702921684,4/20/16,454,468
4702921684,4/21/16,425,434
4702921684,4/23/16,465,475
4702921684,4/24/16,480,506
4702921684,4/25/16,370,380
4702921684,4/26/16,421,429
4702921684,4/27/16,432,449
4702921684,4/28/16,442,461
4702921684,4/29/16,433,447
4702921684,4/30/16,479,501
4702921684,5/3/16,327,373
4702921684,5/4/16,412,434
4702921684,5/5/16,414,428
4702921684,5/6/16,404,449
4702921684,5/7/16,520,543
4702921684,5/7/16,520,543
4702921684,5/9/16,435,458
4702921684,5/10/16,416,431
4702921684,5/11/16,354,366
4702921684,5/12/16,404,442
5553957443,4/12/16,441,464
5553957443,4/13/16,455,488
5553957443,4/14/16,357,418
5553957443,4/15/16,377,409
5553957443,4/16/16,651,686
5553957443,4/17/16,350,402
5553957443,4/18/16,520,541
5553957443,4/19/16,357,410
5553957443,4/20/16,658,678
5553957443,4/21/16,399,431
5553957443,4/22/16,322,353
5553957443,4/23/16,631,725
5553957443,4/24/16,553,640
5553957443,4/25/16,433,468
5553957443,4/26/16,412,453
5553957443,4/27/16,347,391
5553957443,4/28/16,421,457
5553957443,4/29/16,450,495
5553957443,4/30/16,775,843
5553957443,5/1/16,622,686
5553957443,5/2/16,409,471
5553957443,5/3/16,380,429
5553957443,5/4/16,447,470
5553957443,5/5/16,419,464
5553957443,5/6/16,400,434
5553957443,5/7/16,442,470
5553957443,5/8/16,568,608
5553957443,5/9/16,453,494
5553957443,5/10/16,418,443
5553957443,5/11/16,463,486
5553957443,5/12/16,438,475
5577150313,4/12/16,419,438
5577150313,4/13/16,432,458
5577150313,4/14/16,477,497
5577150313,4/15/16,392,413
5577150313,4/16/16,406,445
5577150313,4/17/16,549,583
5577150313,4/18/16,527,553
5577150313,4/19/16,449,465
5577150313,4/20/16,447,480
5577150313,4/21/16,414,437
5577150313,4/22/16,338,366
5577150313,4/23/16,384,402
5577150313,4/24/16,543,615
5577150313,4/25/16,421,461
5577150313,4/26/16,354,377
5577150313,4/27/16,424,452
5577150313,4/28/16,361,372
5577150313,4/29/16,459,485
5577150313,4/30/16,412,433
5577150313,5/1/16,379,398
5577150313,5/2/16,525,553
5577150313,5/3/16,508,543
5577150313,5/4/16,603,634
5577150313,5/5/16,74,78
5577150313,5/10/16,504,562
5577150313,5/11/16,431,476
6117666160,4/16/16,380,398
6117666160,4/17/16,336,350
6117666160,4/18/16,493,510
6117666160,4/19/16,465,492
6117666160,4/20/16,474,502
6117666160,4/21/16,508,550
6117666160,4/22/16,480,546
6117666160,4/23/16,492,539
6117666160,4/24/16,353,367
6117666160,4/27/16,542,557
6117666160,4/28/16,393,416
6117666160,4/29/16,600,636
6117666160,5/1/16,507,575
6117666160,5/5/16,392,415
6117666160,5/6/16,658,698
6117666160,5/7/16,498,507
6117666160,5/8/16,555,603
6117666160,5/9/16,492,522
6775888955,4/13/16,235,260
6775888955,4/14/16,423,441
6775888955,4/15/16,391,406
6962181067,4/12/16,366,387
6962181067,4/13/16,630,679
6962181067,4/14/16,508,535
6962181067,4/15/16,370,386
6962181067,4/16/16,357,366
6962181067,4/17/16,427,446
6962181067,4/18/16,442,458
6962181067,4/19/16,476,535
6962181067,4/20/16,418,424
6962181067,4/21/16,451,457
6962181067,4/22/16,425,435
6962181067,4/23/16,528,546
6962181067,4/24/16,511,514
6962181067,4/25/16,400,415
6962181067,4/26/16,441,446
6962181067,4/27/16,455,467
6962181067,4/28/16,440,453
6962181067,4/29/16,433,447
6962181067,4/30/16,422,424
6962181067,5/1/16,411,426
6962181067,5/2/16,466,482
6962181067,5/3/16,394,418
6962181067,5/4/16,442,455
6962181067,5/5/16,467,491
6962181067,5/6/16,443,462
6962181067,5/7/16,298,334
6962181067,5/8/16,541,569
6962181067,5/9/16,489,497
6962181067,5/10/16,469,481
6962181067,5/11/16,452,480
6962181067,5/12/16,516,535
7007744171,4/16/16,79,82
7007744171,5/1/16,58,61
7086361926,4/12/16,514,525
7086361926,4/13/16,451,465
7086361926,4/14/16,472,476
7086361926,4/15/16,377,386
7086361926,4/19/16,472,483
7086361926,4/20/16,492,502
7086361926,4/21/16,390,411
7086361926,4/22/16,428,448
7086361926,4/24/16,681,704
7086361926,4/25/16,446,447
7086361926,4/26/16,485,500
7086361926,4/27/16,469,479
7086361926,4/28/16,354,367
7086361926,4/30/16,485,489
7086361926,5/1/16,388,407
7086361926,5/2/16,440,459
7086361926,5/3/16,456,461
7086361926,5/4/16,420,436
7086361926,5/6/16,322,333
7086361926,5/7/16,530,548
7086361926,5/8/16,481,510
7086361926,5/9/16,427,438
7086361926,5/11/16,451,463
7086361926,5/12/16,444,457
8053475328,4/20/16,486,493
8053475328,4/23/16,331,337
8053475328,5/7/16,74,75
8378563200,4/12/16,338,356
8378563200,4/13/16,447,487
8378563200,4/14/16,424,455
8378563200,4/15/16,513,533
8378563200,4/16/16,611,689
8378563200,4/17/16,525,591
8378563200,4/18/16,398,451
8378563200,4/19/16,387,421
8378563200,4/20/16,381,409
8378563200,4/21/16,396,417
8378563200,4/22/16,441,469
8378563200,4/23/16,565,591
8378563200,4/24/16,458,492
8378563200,4/25/16,388,402
8378563200,4/25/16,388,402
8378563200,4/26/16,550,584
8378563200,4/27/16,531,600
8378563200,4/28/16,506,556
8378563200,4/29/16,527,562
8378563200,4/30/16,468,555
8378563200,5/1/16,475,539
8378563200,5/2/16,351,385
8378563200,5/3/16,405,429
8378563200,5/4/16,441,477
8378563200,5/5/16,381,417
8378563200,5/6/16,323,355
8378563200,5/7/16,459,513
8378563200,5/8/16,545,606
8378563200,5/9/16,359,399
8378563200,5/10/16,342,391
8378563200,5/11/16,368,387
8378563200,5/12/16,496,546
8792009665,4/12/16,458,493
8792009665,4/13/16,531,552
8792009665,4/14/16,486,503
8792009665,4/15/16,363,377
8792009665,4/20/16,528,547
8792009665,4/22/16,391,407
8792009665,4/23/16,339,360
8792009665,4/27/16,423,428
8792009665,4/28/16,402,416
8792009665,4/29/16,398,406
8792009665,4/30/16,343,360
8792009665,5/1/16,503,527
8792009665,5/2/16,415,423
8792009665,5/3/16,516,545
8792009665,5/4/16,439,463
